period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
3/1/2018,3/31/2018,30,county,5,2218,f,"Morrow County, OH",,Ohio,OH,Single Family Residential,6,124300,-0.31890411,-0.151535836,157500,-0.35674903,-0.084275706,94.09538229,0.064183998,0.03544105,97.88953749,-0.127649701,-0.004723032,23,0.4375,0.045454545,18,0.5,0.2,29,1.636363636,-0.236842105,89,0.011363636,-0.190909091,3.9,-1.6,-1.1,128,56,20,0.971737431,-0.00708834,-0.025108044,0.217391304,-0.032608696,-0.009881423,0.123595506,0.066777324,0.014504597,0.277777778,0.277777778,-0.122222222,"Columbus, OH",18140,3/19/2023
10/1/2022,10/31/2022,30,county,5,3078,f,"Cowlitz County, WA",,Washington,WA,Multi-Family (2-4 Unit),4,430000,0.228571429,0.274074074,375000,-0.060150376,0.01378751,169.8262243,-0.303227262,-0.074092024,243.7325905,-0.026533497,0.03315537,5,4,-0.166666667,3,0.5,-0.4,5,0.666666667,1.5,8,0.333333333,0,1.6,-4.4,0.3,8,-92,-28,0.944,-0.118215478,-0.057949621,0,-1,-0.333333333,0.125,-0.041666667,-0.375,0.666666667,-0.333333333,0.266666667,"Longview, WA",31020,3/19/2023
1/1/2018,1/31/2018,30,county,5,2364,f,"Beaver County, PA",,Pennsylvania,PA,Condo/Co-op,3,277000,1.303534304,0.978571429,137450,0.195217391,0.145416667,,,,96.70824074,0.09265161,0.087967708,2,-0.666666667,1,1,-0.75,0,2,-0.5,-0.75,28,-0.096774194,-0.096774194,14,8.8,-17,218,148,49,0.975535947,0.010724409,-0.02517885,0,-0.166666667,-1,0.035714286,0.003456221,-0.125576037,0,0,-1,"Pittsburgh, PA",38300,3/19/2023
5/1/2015,5/31/2015,30,county,5,2740,f,"Harris County, TX",,Texas,TX,Townhouse,13,223400,-0.041201717,0.008805599,219810,-0.000863636,0.104572864,120.8617972,-0.0170982,-0.087533452,96.41778798,-0.000806524,0.075712528,313,-0.076696165,-0.14010989,358,0.078313253,0.049853372,481,0.178921569,0.118604651,794,0.015345269,0.159124088,2.5,0.2,0.6,23,-3,4,0.977163651,-0.002710652,-0.009066122,0.162939297,-0.017001706,-0.078818945,0.249370277,-0.011499288,0.096085606,0.522346369,0.019334321,-0.023108177,"Houston, TX",26420,3/19/2023
8/1/2018,8/31/2018,30,county,5,2703,f,"Dimmit County, TX",,Texas,TX,Single Family Residential,6,305000,,2.588235294,,,,121.5623754,,2.516728014,,,,1,,0,1,,,,,,9,,0.125,9,,1,381,,372,0.910447761,,-0.089552239,0,,0,,,,0,,,Texas nonmetropolitan area,,3/19/2023
11/1/2021,11/30/2021,30,county,5,1311,f,"Anne Arundel County, MD",,Maryland,MD,All Residential,-1,415000,0.010310031,0.050632911,400000,-0.012345679,0.081081081,219.4805195,0.005722777,0.099056792,224.9619005,0.031316137,0.107281431,977,-0.030753968,-0.035538006,813,-0.093645485,-0.066590126,679,-0.258733624,-0.115885417,1027,-0.20939184,-0.17310789,1.1,-0.2,-0.1,32,3,10,1.006358085,0.001322492,0.006920716,0.446264074,0.020668836,0.113588852,0.248296008,-0.025760959,0.014801644,0.434194342,-0.006162403,-0.002085796,"Baltimore, MD",12580,3/19/2023
3/1/2016,3/31/2016,30,county,5,3163,f,"Adams County, WI",,Wisconsin,WI,All Residential,-1,131000,0.002295333,0.092577148,129450,-0.128282828,-0.131208054,71.94282274,-0.245491682,0.128063461,83.13159491,-0.145803795,-0.107413267,32,0.066666667,0.28,10,0.666666667,-0.090909091,83,0.456140351,-0.087912088,372,0.065902579,-0.103614458,11.6,0,-5,268,47,54,0.921201419,-0.016498342,-0.018261455,0.03125,-0.002083333,-0.00875,0.096774194,0.010814308,0.012436844,0.2,0.2,-0.072727273,Wisconsin nonmetropolitan area,,3/19/2023
6/1/2019,6/30/2019,30,county,5,2785,f,"Liberty County, TX",,Texas,TX,Single Family Residential,6,167000,0.006327207,0.089722675,184900,0.09408284,-0.015965939,106.9026583,0.051092549,0.083280641,108.4067797,0.067185327,-0.03025208,55,-0.017857143,-0.051724138,65,0,0.585365854,105,0.05,0,272,0.011152416,0.162393162,4.9,0.1,0.9,44,6,10,0.973829275,0.023741834,0.027498202,0.2,-0.014285714,0.010344828,0.242647059,-0.013858517,-0.030857215,0.4,0.092307692,-0.014634146,"Houston, TX",26420,3/19/2023
5/1/2012,5/31/2012,30,county,5,2190,f,"Hamilton County, OH",,Ohio,OH,Townhouse,13,131750,0.3175,-0.09137931,121100,-0.014646054,-0.030424339,84.05942904,0.274779515,0.076517992,77.16270692,-0.02946462,-0.019052675,22,0.047619048,0.375,12,0.2,0.5,26,0,-0.1875,148,-0.04516129,-0.256281407,6.7,-0.7,-5.7,105,-45,-123,0.949012379,0.002102655,0.022035532,0.045454545,-0.145021645,-0.017045455,,,,0,0,0,"Cincinnati, OH",17140,3/19/2023
11/1/2015,11/30/2015,30,county,5,307,f,"Calaveras County, CA",,California,CA,Single Family Residential,6,395000,0.339416659,0.203351104,365000,0.409266409,0.16818691,156.529517,0.097277149,-0.007139943,169.2493947,-0.059553239,-0.03894807,9,0.285714286,0.125,2,-0.6,-0.333333333,5,0,0,25,-0.038461538,-0.137931034,2.8,-0.9,-0.8,193,110,73,0.947059734,-0.029113544,-0.024189043,0,-0.142857143,-0.125,,,,0,0,0,California nonmetropolitan area,,3/19/2023
