,GEOID,mean_household_size_owner,transportation_drive_alone,transportation_public,one_person_household,more_than_200k,mhhi,mhhi_family,mhhi_nonfamily,vacant_units,renter_occuppied,black_homeowners,owners_25_34,mean_household_size_renter,median_number_rooms,median_gross_rent,median_year_built,plumbing_complete,kitchen_complete,median_gross_rent_frac_income,lower_quartile_home_value,median_home_value,upper_quartile_home_value,electricity_cost
1167,13033,2.71,8531,39,2768,372,47837.0,60822.0,27880.0,2238,2339,2465,204,2.85,5.9,718.0,1985,8665,8645,26.8,53600.0,90300.0,165500.0,108
1168,20079,2.54,13305,4,3672,368,60653.0,73035.0,38815.0,1313,3760,51,1055,2.28,6.2,779.0,1968,13206,13206,24.8,85200.0,132700.0,199300.0,528
1169,42089,2.86,59456,2500,12910,3628,72679.0,84731.0,42502.0,20138,13181,5575,3046,2.59,6.1,1229.0,1985,58996,58998,31.1,128600.0,182000.0,263800.0,1755
1170,51165,2.63,32626,78,7974,1642,67484.0,80586.0,38740.0,4199,7501,219,2303,2.55,5.9,964.0,1983,30977,30761,24.8,158800.0,231800.0,344700.0,1281
1171,51159,2.78,2391,24,758,75,57697.0,74883.0,36425.0,1123,914,304,234,2.15,5.7,861.0,1978,2811,2802,25.1,131200.0,195600.0,281300.0,51
1172,37027,2.48,29010,5,9208,656,48549.0,61378.0,26859.0,5211,8211,562,1819,2.59,5.3,669.0,1981,31701,31593,25.5,80900.0,136100.0,199200.0,686
1173,48241,2.57,9573,115,3589,506,44356.0,56720.0,26604.0,3531,2585,1019,819,2.47,5.0,755.0,1986,12659,12758,35.4,64300.0,106600.0,183200.0,114
1174,31049,2.48,692,0,217,30,50924.0,65719.0,26944.0,215,134,0,44,2.14,6.1,664.0,1947,769,769,23.8,46800.0,85500.0,151600.0,20
1175,46111,2.57,901,0,296,28,58409.0,75724.0,28669.0,218,230,0,71,2.65,6.3,522.0,1957,896,889,25.0,59400.0,108100.0,165300.0,32
1176,49013,3.15,5966,27,1239,284,66463.0,73773.0,35983.0,2623,1410,0,651,2.96,5.6,852.0,1986,6200,6179,22.1,137300.0,194900.0,284300.0,624
1177,51141,2.31,6222,0,2415,358,47215.0,65560.0,24417.0,2282,1681,219,454,1.97,5.3,621.0,1982,7598,7624,26.2,71700.0,118800.0,178000.0,292
1178,21031,2.82,3977,21,1070,65,48355.0,62040.0,22500.0,1078,1229,0,321,2.66,5.4,566.0,1983,4377,4395,23.3,59200.0,93300.0,169500.0,98
1179,6087,2.67,87514,2497,24098,19077,96093.0,118979.0,59288.0,9634,38155,254,2382,2.71,5.0,1925.0,1973,96074,95537,32.2,563200.0,826500.0,1107200.0,15040
1180,24005,2.65,316661,16775,97067,36818,81846.0,102411.0,51546.0,21307,109685,42807,19107,2.32,6.3,1387.0,1972,326169,324531,31.1,199300.0,277500.0,397600.0,16761
1181,51119,2.2,3232,9,1435,234,63782.0,82254.0,31711.0,2546,714,598,233,2.58,5.8,939.0,1988,4478,4549,26.9,175700.0,265200.0,402800.0,50
1182,34031,2.96,172064,16884,39286,21801,78386.0,88475.0,45647.0,8114,84224,5435,6748,2.86,5.2,1367.0,1956,175574,174577,32.3,279900.0,363700.0,473500.0,15043
1183,72023,2.9,11956,122,4570,81,18581.0,22286.0,12105.0,12180,4533,542,562,2.63,4.3,494.0,1985,16498,16609,34.8,73500.0,104600.0,149700.0,4421
1184,6083,2.83,139999,4828,35790,21965,84356.0,95979.0,56260.0,10363,69883,833,4782,2.96,5.0,1810.0,1973,146996,145546,33.1,376700.0,625200.0,1065600.0,40328
1185,51111,2.59,3691,43,1308,53,47269.0,60362.0,27827.0,1576,1346,910,94,2.53,5.8,714.0,1976,4304,4272,24.1,71200.0,116600.0,199400.0,40
1186,45047,2.52,25003,76,9208,827,44513.0,61717.0,26437.0,3897,9882,3841,1464,2.29,5.4,777.0,1978,27334,27139,29.5,75700.0,127900.0,209900.0,1805
1187,31155,2.63,9352,0,2331,492,76485.0,93592.0,41842.0,1231,1776,30,679,2.05,6.4,818.0,1972,8630,8637,21.4,131100.0,183800.0,299700.0,275
1188,13241,2.52,4587,26,1994,301,48652.0,60734.0,30153.0,5439,1517,4,199,2.34,5.7,836.0,1988,6555,6495,31.7,111100.0,190800.0,338300.0,217
1189,51091,2.23,595,0,295,11,52901.0,60083.0,35114.0,813,164,0,40,2.41,5.5,710.0,1972,964,956,35.2,114200.0,166400.0,297400.0,22
1190,21151,2.6,33879,57,9582,1306,55002.0,71947.0,29705.0,3471,13930,592,2175,2.16,5.7,761.0,1993,35329,35194,27.6,116600.0,172000.0,248600.0,732
1191,26129,2.33,6022,10,2672,156,44165.0,55137.0,27250.0,6362,1642,0,503,2.02,5.3,708.0,1978,8973,8931,36.7,61000.0,107400.0,175500.0,529
1192,27031,2.2,1840,40,835,189,65045.0,79732.0,48102.0,3423,512,0,108,2.21,4.8,792.0,1989,2430,2422,23.5,175800.0,261600.0,378100.0,83
1193,29023,2.64,13421,87,4748,277,44842.0,54007.0,21358.0,3344,5487,282,1040,2.47,5.3,690.0,1981,15933,15879,28.9,69000.0,117000.0,171300.0,212
1194,28157,2.2,2566,0,1484,53,31412.0,41320.0,25167.0,1304,714,1530,149,2.54,5.8,495.0,1980,3316,3316,32.2,51000.0,69200.0,114500.0,45
1195,13137,2.95,15596,12,4018,666,56680.0,69443.0,27031.0,3156,3355,177,1038,2.59,5.7,819.0,1992,15113,15057,24.5,106100.0,160300.0,244400.0,249
1196,13151,3.01,89404,1357,17627,5485,73491.0,82316.0,50665.0,4551,22894,23210,4304,2.69,6.6,1255.0,1999,80279,80505,29.4,151700.0,202300.0,286000.0,1551
1197,53029,2.36,27646,669,9187,2648,75628.0,88002.0,46644.0,6681,9419,362,2346,2.39,5.6,1336.0,1988,34930,34767,29.7,303800.0,412300.0,598600.0,4044
1198,47057,2.49,7338,0,2623,186,44917.0,54790.0,19670.0,2220,2169,33,551,2.49,5.4,630.0,1990,9284,9276,29.5,77200.0,129800.0,235600.0,131
1199,42043,2.51,105430,2218,36660,7775,66480.0,85784.0,43115.0,10278,41787,6960,7756,2.2,6.0,1014.0,1970,115259,114558,26.8,125400.0,181400.0,268900.0,7654
1200,21195,2.5,15377,90,7135,444,36910.0,48827.0,18933.0,5079,6149,81,1444,2.19,5.7,734.0,1986,23804,23812,32.0,46400.0,86200.0,160300.0,299
1201,48333,2.62,1532,0,489,85,53483.0,62500.0,24620.0,956,222,0,96,2.33,5.5,651.0,1976,1695,1685,21.0,86700.0,159700.0,303900.0,24
1202,34003,2.89,307535,62791,82391,80001,109497.0,133202.0,58750.0,16935,122371,9117,12544,2.35,5.8,1637.0,1959,347709,346099,29.0,364500.0,489600.0,702400.0,32671
1203,21175,2.75,3291,14,1138,111,41664.0,54724.0,17285.0,1174,873,0,267,2.73,5.7,595.0,1987,4457,4454,31.4,46300.0,76300.0,155500.0,93
1204,37129,2.36,85960,385,33860,8021,62362.0,86276.0,40317.0,14536,40005,4269,5621,2.04,5.4,1133.0,1991,97651,96965,31.4,185200.0,277900.0,403000.0,3436
1205,4013,2.71,1496305,32059,428435,150347,72944.0,85912.0,47619.0,162097,590579,30472,109720,2.51,5.4,1275.0,1991,1626461,1621975,29.4,211100.0,304700.0,441900.0,69719
1206,1049,2.79,24299,43,6602,649,44037.0,54358.0,22421.0,5046,6796,131,1684,2.66,5.7,646.0,1985,25568,25445,27.9,60700.0,115100.0,198600.0,149
1207,2150,2.99,4069,3,1067,318,83765.0,97521.0,42730.0,1334,2039,0,279,2.82,4.8,1483.0,1985,4405,4347,28.5,201900.0,311100.0,433600.0,441
1208,37183,2.73,411636,4931,110462,59729,88471.0,110390.0,53435.0,32528,150719,38113,29653,2.33,6.0,1276.0,1997,421452,420623,27.9,219400.0,324500.0,454700.0,15939
1209,6051,2.52,4149,800,1621,350,71138.0,85375.0,52994.0,8255,1836,0,147,2.23,4.7,1228.0,1982,5163,5163,24.6,228600.0,390100.0,662500.0,480
1210,48233,3.04,7285,87,2025,262,57288.0,69080.0,26653.0,3360,1248,100,419,2.86,5.5,791.0,1971,6864,6846,24.2,48800.0,86200.0,151000.0,428
1211,37013,2.42,15701,40,5390,513,51894.0,65060.0,24927.0,5713,5207,2220,649,2.32,5.2,770.0,1982,18563,18530,30.5,70100.0,142800.0,247000.0,211
1212,47013,2.45,12113,0,4054,354,46110.0,56176.0,24509.0,4238,5287,7,790,2.47,5.7,651.0,1982,15669,15624,22.8,71000.0,126800.0,202100.0,153
1213,56039,2.39,9501,449,2203,1641,94498.0,113830.0,68047.0,3724,3875,0,455,2.28,4.9,1524.0,1989,9531,9376,24.4,508300.0,945300.0,1595400.0,493
1214,24037,2.89,44557,722,9352,5736,102859.0,118328.0,64962.0,4902,11390,2675,3153,2.37,6.6,1492.0,1992,40027,40066,26.4,248700.0,326800.0,434700.0,1371
1215,30023,2.23,3128,19,1624,134,44809.0,55838.0,32659.0,1293,1350,4,185,1.62,5.1,586.0,1953,4161,4104,25.6,93600.0,145000.0,221100.0,550
1216,48041,2.75,85058,1349,26155,5432,52658.0,76765.0,30542.0,11550,43186,2823,5504,2.4,5.1,1018.0,1994,83232,83152,36.3,151200.0,229700.0,341600.0,3091
1217,12075,2.43,12959,52,5025,291,43029.0,53365.0,22458.0,3495,3512,700,1208,2.45,5.2,751.0,1991,17222,17173,31.0,69200.0,130200.0,242100.0,217
1218,42023,2.27,1504,4,766,32,43615.0,53594.0,24223.0,1853,614,0,47,1.77,5.2,664.0,1956,2124,2109,29.1,54500.0,79400.0,132300.0,309
1219,54041,2.61,5097,0,2037,188,45345.0,60296.0,24720.0,1516,1826,8,430,2.2,5.6,678.0,1978,6631,6637,27.6,74000.0,119700.0,215900.0,758
1220,12057,2.7,525934,7701,157423,46755,64164.0,79014.0,42266.0,48263,220172,35907,32862,2.45,5.4,1259.0,1989,545712,543746,31.9,167300.0,251200.0,366900.0,13550
1221,53049,2.26,5607,22,3148,316,54598.0,71639.0,31740.0,6121,1672,21,451,2.51,5.3,867.0,1976,9843,9829,28.1,135800.0,214900.0,315000.0,520
1222,20025,2.29,678,0,274,33,55556.0,66750.0,42946.0,222,184,0,51,2.33,5.9,713.0,1955,835,834,15.8,53000.0,74900.0,117200.0,23
1223,37167,2.55,22888,20,6122,813,56462.0,71802.0,27977.0,3967,6075,966,1724,2.54,5.4,764.0,1977,23563,23342,24.6,103600.0,161900.0,257900.0,322
1224,1071,2.64,16587,20,5848,478,43785.0,55696.0,23948.0,4390,4947,411,1210,2.33,5.8,627.0,1982,20198,20170,28.4,63700.0,114200.0,199200.0,52
1225,28159,2.48,5284,7,2365,276,39725.0,49557.0,28972.0,1394,1825,1887,428,2.68,5.5,634.0,1979,6819,6787,29.9,57700.0,101600.0,176400.0,73
1226,11001,2.27,113998,100595,140903,65358,93547.0,127629.0,78691.0,34202,181384,47665,17158,1.95,4.0,1681.0,1955,309034,308319,28.4,409200.0,635900.0,947800.0,47619
1227,12103,2.29,338112,5952,147758,29773,60451.0,81101.0,39878.0,98936,130333,14163,17823,2.2,4.8,1237.0,1976,414572,411983,32.5,142900.0,238400.0,372500.0,14097
